condition,family,method,checkpoint,positions,top1,top3,policy_ce,value_mse,value_rmse,value_pearson,params,prunable_params,nonzero_prunable_params,actual_sparsity,sparsity_target,actual_model_mb,sparse_estimated_mb,cpu_latency_ms,gpu_latency_ms,peak_gpu_mb,train_seconds,epochs_completed
teacher_fp32,teacher,baseline,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v3/teacher_fp32.pt,7475,0.2103010033444816,0.4090969899665552,2.86513840225628,0.04956315457820892,0.22262783873138806,0.7844786047935486,12212225,12190208,12190208,0.0,,46.58998394012451,,2.730262200057041,0.5746949248714373,311.4150390625,36.78296680698986,6
student_direct,student,direct_training,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v3/student_direct.pt,7475,0.19826086956521738,0.3921070234113712,2.952822124997908,0.043676625937223434,0.20898953547300744,0.8068222999572754,2970113,2949248,2949247,3.3906948482265165e-07,,11.334090232849121,,0.46059393498580903,0.31120198997086845,116.17626953125,35.72088570299093,6
student_distilled,student,distillation,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v3/student_distilled.pt,7475,0.1891638795986622,0.4020066889632107,2.9267048013489383,0.05815238505601883,0.24114805629741,0.7910450100898743,2970113,2949248,2949247,3.3906948482265165e-07,,11.33413028717041,,0.35959906497737393,0.24782070991932414,229.9765625,30.440793093992397,6
teacher_int8,teacher,quantization,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v3/teacher_int8.pt,7475,0.20762541806020066,0.40936454849498327,2.865140012115938,0.04975901544094086,0.22306728904288242,0.7809392809867859,12212225,12190208,12190208,0.0,,11.716753959655762,,0.5534350698872004,,0.0,0.0,0
teacher_control,teacher,control,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v3/teacher_control.pt,7475,0.22648829431438128,0.44160535117056854,2.8562843513807725,0.044830139726400375,0.2117312913255865,0.8008711338043213,12212225,12190208,12190208,0.0,,46.5896577835083,,2.697318510035984,,0.0,6.35748656000942,1
teacher_pruned_25,teacher,pruning,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v3/teacher_pruned_25.pt,7475,0.23264214046822743,0.43986622073578596,2.8579952548419354,0.04425228387117386,0.21036226817367668,0.8032857179641724,12212225,12190208,9142656,0.25,0.25,46.58968448638916,69.83691787719727,2.9657815949758515,,0.0,6.8693924239778426,1
teacher_pruned_50,teacher,pruning,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v3/teacher_pruned_50.pt,7475,0.2271571906354515,0.4437458193979933,2.859108701597488,0.04487895965576172,0.2118465474246907,0.8000413179397583,12212225,12190208,6095104,0.5,0.5,46.58968448638916,46.585941314697266,4.223287794884527,,0.0,7.0354806300019845,1
teacher_pruned_75,teacher,pruning,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v3/teacher_pruned_75.pt,7475,0.23210702341137124,0.4319732441471572,2.869396232936693,0.05546410754323006,0.2355081899706039,0.7656055092811584,12212225,12190208,3047552,0.75,0.75,46.58968448638916,23.334964752197266,3.972819670016179,,0.0,8.130964709009277,1
student_distilled_int8,student,combined,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v3/student_distilled_int8.pt,7475,0.1871571906354515,0.3987959866220736,2.9265409130874684,0.05853990092873573,0.24195020340709725,0.7920413017272949,2970113,2949248,2949247,3.3906948482265165e-07,,2.8996877670288086,,0.5325687149888836,,0.0,0.0,0
student_distilled_control,student,control,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v3/student_distilled_control.pt,7475,0.18996655518394648,0.4078929765886288,2.918466949973218,0.04646044224500656,0.2155468446649279,0.8030247688293457,2970113,2949248,2949247,3.3906948482265165e-07,,11.333992958068848,,0.5656253700726666,,0.0,6.027467207983136,1
student_distilled_pruned_25,student,combined,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v3/student_distilled_pruned_25.pt,7475,0.19438127090301002,0.40615384615384614,2.9190296301634415,0.04546511545777321,0.21322550376953786,0.8056147694587708,2970113,2949248,2211936,0.25,0.25,11.334019660949707,16.955326080322266,0.82983617510763,,0.0,4.895527977991151,1
student_distilled_pruned_50,student,combined,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v3/student_distilled_pruned_50.pt,7475,0.1854180602006689,0.39959866220735785,2.9269215995571685,0.0603371188044548,0.2456361512572097,0.7391201853752136,2970113,2949248,1474624,0.5,0.5,11.334019660949707,11.330081939697266,0.7898147149535362,,0.0,5.615519761980977,1
student_distilled_pruned_75,student,combined,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v3/student_distilled_pruned_75.pt,7475,0.15719063545150502,0.37297658862876254,2.9800766861638097,0.113529734313488,0.3369417372684601,0.3390578031539917,2970113,2949248,737312,0.75,0.75,11.334019660949707,5.704837799072266,1.2034817899984773,,0.0,4.437595469004009,1
