condition,family,method,seeds,params,prunable_params,nonzero_prunable_params,sparsity_target,cpu_latency_ms,cpu_latency_q1_ms,cpu_latency_q3_ms,top1_mean,top1_std,top1_ci95,top3_mean,top3_std,top3_ci95,policy_ce_mean,policy_ce_std,policy_ce_ci95,value_rmse_mean,value_rmse_std,value_rmse_ci95,value_pearson_mean,value_pearson_std,value_pearson_ci95,actual_model_mb_mean,actual_model_mb_std,actual_model_mb_ci95,actual_sparsity_mean,actual_sparsity_std,actual_sparsity_ci95,sparse_estimated_mb_mean,sparse_estimated_mb_std,sparse_estimated_mb_ci95,val_top1_mean,val_top1_std,val_top1_ci95,val_policy_ce_mean,val_policy_ce_std,val_policy_ce_ci95,gpu_latency_ms_mean,gpu_latency_ms_std,gpu_latency_ms_ci95,peak_gpu_mb_mean,peak_gpu_mb_std,peak_gpu_mb_ci95,train_seconds_mean,train_seconds_std,train_seconds_ci95
teacher_fp32,teacher,baseline,8,12212225.0,12190208.0,12190207.75,,2.3238534866444143,2.2811901699848627,2.3587222292068564,0.23580267558528425,0.01426167227199575,0.009882834671096583,0.45367892976588625,0.00797298440849698,0.005524996314711972,2.835062303901915,0.004713722078500444,0.003266442749409683,0.22184610575239816,0.0031595888248400175,0.0021894833501294986,0.7811096981167793,0.0064119115738578356,0.0044432280311585155,46.58998394012451,0.0,0.0,2.0508263670615537e-08,3.797392543538214e-08,2.6314587779958405e-08,,,,0.23999466382070433,0.013806282102667143,0.009567265383814994,2.8202910454766856,0.004887336460509643,0.003386751378103295,0.6912730370944093,0.1502775849994866,0.10413705342520527,309.8837890625,0.6187184335382291,0.42874999999999996,116.35567679799715,14.197334337891046,9.838250757393473
student_direct,student,direct_training,8,2970113.0,2949248.0,2949248.0,,0.3546150966819065,0.3457131291603825,0.3648733042064123,0.2282775919732441,0.011356261744260096,0.00786948789452977,0.44137123745819395,0.009064259152451973,0.006281211130868397,2.858882344749859,0.003682657623928105,0.0025519515350945435,0.21966751986280342,0.003284668285987623,0.002276158994590837,0.7874642536044121,0.007406599615398967,0.005132511677310638,11.334151268005373,0.0,0.0,0.0,0.0,0.0,,,,0.23392475987193165,0.012225267123141613,0.008471677898898581,2.8421517630587774,0.004217069653378787,0.0029222801776673407,0.16648772667394948,0.0337265010649226,0.02337127285652804,209.64599609375,0.5085760056977016,0.3524251915300607,80.85745376175691,10.413533363516091,7.216210456305493
student_distilled,student,distillation,8,2970113.0,2949248.0,2949248.0,,0.3796688199993999,0.3566411257876704,0.38997843667554355,0.23147157190635448,0.014369866254279417,0.009957809275681814,0.4482274247491639,0.003838189473044041,0.0026597296077908975,2.849365165217664,0.004457335292065159,0.0030887757708205664,0.21807824030822137,0.0016878875468041587,0.0011696463956210356,0.7896363660693169,0.003586993494316404,0.0024856596754250955,11.334399223327637,0.0,0.0,0.0,0.0,0.0,,,,0.23452508004268938,0.014608508734319368,0.01012318007727893,2.836052259805999,0.004914658292073436,0.0034056844414290257,0.2882967829161013,0.21647913635531957,0.15001238799620864,253.2783203125,0.44540060218703276,0.3086468704280022,95.2211178462494,9.347047337342326,6.477173345180294
teacher_int8,teacher,quantization,8,12212225.0,12190208.0,12190207.75,,0.4961586983699817,0.48265093338462367,0.5070268049651835,0.23546822742474913,0.013308071322730358,0.009222022927280525,0.45321070234113714,0.007191357645485116,0.004983356601919044,2.8352772142895093,0.00460246670400145,0.0031893467082530296,0.22193941341169499,0.0032939824853617248,0.002282613405458813,0.7807223275303841,0.006479836201317887,0.004490297396551357,11.716753959655762,0.0,0.0,2.0508263670615537e-08,3.797392543538214e-08,2.6314587779958405e-08,,,,0.23931096584845246,0.011902499171193815,0.00824801111947804,2.82042063755185,0.00476667224245522,0.003303135341007098,,,,0.0,0.0,0.0,0.0,0.0,0.0
teacher_control,teacher,control,8,12212225.0,12190208.0,12190207.75,,2.2845425350533333,2.234606950854262,2.309295713348547,0.2440802675585284,0.012427592708881063,0.00861188237670881,0.45948160535117055,0.013268147283355404,0.009194356979485624,2.8330113149048093,0.0023885679645932324,0.0016551931529870474,0.2179625886558481,0.004050352656084067,0.002806751192727708,0.7891771718859673,0.0072194324705269885,0.005002811463103424,46.5896577835083,0.0,0.0,2.0508263670615537e-08,3.797392543538214e-08,2.6314587779958405e-08,,,,0.24849919957310562,0.012757652169975832,0.008840601914180998,2.818403095420422,0.0032824499821438777,0.0022746217884540053,,,,0.0,0.0,0.0,7.248023341759108,0.19201831691811092,0.1330619049247273
teacher_pruned_25,teacher,pruning,8,12212225.0,12190208.0,9142656.0,0.25,2.22127756831469,2.1900740374743086,2.250665655786482,0.2392307692307692,0.014451655007324926,0.01001448598994702,0.46396321070234103,0.0053547229011734875,0.0037106336572987823,2.831617538893103,0.0020891090704939276,0.0014476787265768896,0.21686527258631527,0.003508670958103342,0.0024313849268786302,0.7905947715044022,0.00775062901961771,0.005370911891468267,46.58968448638916,0.0,0.0,0.25,0.0,0.0,69.83691787719727,0.0,0.0,0.24391342049092846,0.015881768210380728,0.011005503878817288,2.817605024022761,0.00326922903350609,0.002265460138467217,,,,0.0,0.0,0.0,7.6713517708703876,0.18511989517913255,0.12828154254943333
teacher_pruned_50,teacher,pruning,8,12212225.0,12190208.0,6095104.0,0.5,2.2457647232901454,2.1476399874518393,2.282168953364211,0.24321070234113712,0.008662511731698328,0.006002814371840072,0.46367892976588626,0.004510677219107088,0.0031257398403868137,2.827534899592001,0.002570490627670704,0.0017812591267263712,0.2147699888657556,0.003575354451839743,0.0024775942304805657,0.7948770523071289,0.007298375458252309,0.00505751616261217,46.58968448638916,0.0,0.0,0.5,0.0,0.0,46.58594131469727,0.0,0.0,0.24884938633938097,0.011165277203904832,0.0077371423602145065,2.813694860217666,0.003202832834731292,0.0022194499201165204,,,,0.0,0.0,0.0,7.4860516944972915,0.36378014166892403,0.2520867769343971
teacher_pruned_75,teacher,pruning,8,12212225.0,12190208.0,3047552.0,0.75,2.1461841033791034,2.080397351625531,2.2617295133386506,0.24844481605351168,0.004377457920712783,0.0030334235764928777,0.46229096989966556,0.007180750769932955,0.004976006412161511,2.807919995023256,0.011378724536718057,0.007885053815543752,0.23463184261693443,0.0021081555061864565,0.001460877233135798,0.761277362704277,0.007992634234927421,0.005538612949719714,46.58968448638916,0.0,0.0,0.75,0.0,0.0,23.334964752197266,0.0,0.0,0.2506336712913554,0.005091763917117779,0.00352841237811506,2.7947431678387753,0.009630398959325107,0.00667352600147724,,,,0.0,0.0,0.0,7.6560567371307116,0.2695068240889014,0.1867587008315259
student_distilled_int8,student,combined,8,2970113.0,2949248.0,2949248.0,,0.23326163165620525,0.2306787691729065,0.24056327997338176,0.23011705685618722,0.012317957766356441,0.008535909237620935,0.4464548494983277,0.004363601063618226,0.0030238212644277335,2.8499924525807936,0.004464569326830251,0.0030937887011575475,0.21983687017152462,0.0038594777185196306,0.0026744816092715436,0.7867450192570686,0.006484205807157289,0.004493325378913107,2.8996877670288086,0.0,0.0,0.0,0.0,0.0,,,,0.23287419957310562,0.013024333950762693,0.009025402959882026,2.8365577046492056,0.00504244825716367,0.0034942383692942646,,,,0.0,0.0,0.0,0.0,0.0,0.0
student_distilled_control,student,control,8,2970113.0,2949248.0,2949248.0,,0.3869103466665062,0.37861599662088946,0.41970940668155277,0.23217391304347823,0.013729726939206146,0.00951421536210124,0.45080267558528425,0.004201819070110872,0.0029117120626384638,2.847649223995847,0.0045334182712086744,0.003141498585496115,0.21629602665612682,0.0024043926252489654,0.0016661590833494991,0.7929166555404663,0.005120164869410586,0.0035480932339542913,11.333992958068848,0.0,0.0,0.0,0.0,0.0,,,,0.2353588580576307,0.0117471176984658,0.008140337252302043,2.8335375900647684,0.0037459642769965707,0.0025958208074999007,,,,0.0,0.0,0.0,4.018467159130523,0.14933979790515567,0.10348720012376884
