condition,family,method,checkpoint,positions,top1,top3,policy_ce,value_mse,value_rmse,value_pearson,params,prunable_params,nonzero_prunable_params,actual_sparsity,sparsity_target,actual_model_mb,sparse_estimated_mb,cpu_latency_ms,gpu_latency_ms,peak_gpu_mb,train_seconds,epochs_completed,val_top1,val_top3,val_policy_ce,cpu_latency_q1_ms,cpu_latency_q3_ms,cpu_latency_trials,seed
teacher_fp32,teacher,baseline,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_7/teacher_fp32.pt,7475,0.25070234113712375,0.45551839464882943,2.835493578703507,0.04905075952410698,0.2214740606123141,0.7839900851249695,12212225,12190208,12190207,8.203305468246214e-08,,46.58998394012451,,2.317876039984791,0.9361691999947652,311.4150390625,113.02566250099335,14,0.2497331910352188,0.46278014941302026,2.826168455970707,2.3039860466572764,2.7387120900190594,"[3.0898196433554403, 3.1644464500520066, 2.317876039984791, 2.3078859332599677, 2.387604536682678, 2.3000861600545854, 2.266735896700993]",7
student_direct,student,direct_training,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_7/student_direct.pt,7475,0.23959866220735787,0.4461538461538462,2.8571001301322094,0.047248829156160355,0.21736795797946015,0.7898088693618774,2970113,2949248,2949248,0.0,,11.334151268005371,,0.4199751833220944,0.24571652659991136,210.47412109375,102.30569772102172,20,0.24319637139807898,0.45757737459978653,2.844043618205263,0.38916209169353044,0.4329249000390215,"[0.3671927167063889, 0.38938396668527275, 0.4394195767235942, 0.4199751833220944, 0.3889402167017882, 0.42643022335444886, 0.4523781966418028]",7
student_distilled,student,distillation,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_7/student_distilled_a0p50_t2p0.pt,7475,0.24735785953177258,0.44722408026755855,2.8534190668788644,0.047440122812986374,0.21780753617124082,0.7898497581481934,2970113,2949248,2949248,0.0,,11.334399223327637,,0.4208445266704075,0.3382378800112444,253.5126953125,109.10885318697547,20,0.24813233724653147,0.4554429028815368,2.8452150816596813,0.4052440700373457,0.4264773016620893,"[0.3563711033590759, 0.40128157668126124, 0.4265733399855283, 0.40920656339343014, 0.4208445266704075, 0.42722600997270394, 0.4263812633386503]",7
teacher_int8,teacher,quantization,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_7/teacher_int8.pt,7475,0.24989966555183946,0.45364548494983276,2.8354535630076225,0.048889465630054474,0.22110962355821256,0.784142792224884,12212225,12190208,12190207,8.203305468246214e-08,,11.716753959655762,,0.49478461005492136,,0.0,0.0,0,0.2505336179295624,0.4626467449306297,2.825774421305132,0.4714345016691368,0.5745833099839122,"[0.4613555466251758, 0.4589859367115423, 0.49478461005492136, 0.4815134567130978, 0.6095997233448239, 0.5837242433335632, 0.5654423766342612]",7
teacher_control,teacher,control,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_7/teacher_control.pt,7475,0.24896321070234115,0.46327759197324414,2.8345339186295218,0.04719022288918495,0.21723310725850456,0.7902340292930603,12212225,12190208,12190207,8.203305468246214e-08,,46.5896577835083,,2.1921813533602594,,0.0,7.172244184999727,1,0.25066702241195304,0.4705176093916756,2.819586112888544,2.11798253832967,2.2620357266957094,"[2.2592920333651514, 2.3850344866514206, 2.1921813533602594, 2.151613896712661, 2.2647794200262674, 2.0440474599793865, 2.0843511799466796]",7
teacher_pruned_25,teacher,pruning,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_7/teacher_pruned_25.pt,7475,0.24147157190635452,0.465685618729097,2.8338731253186995,0.04678547754883766,0.21629950889643199,0.7905364036560059,12212225,12190208,9142656,0.25,0.25,46.58968448638916,69.83691787719727,2.208224150041739,,0.0,7.503234748990508,1,0.2386606189967983,0.4727854855923159,2.8192042640331842,2.1397167566465214,2.3114236316663055,"[2.208224150041739, 2.6042947066404545, 2.3241046566787795, 2.1316532566561364, 2.1477802566369064, 2.1212680266277553, 2.298742606653832]",7
teacher_pruned_50,teacher,pruning,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_7/teacher_pruned_50.pt,7475,0.2359866220735786,0.46060200668896323,2.8289019557225665,0.045822624117136,0.21406219684273073,0.7950684428215027,12212225,12190208,6095104,0.5,0.5,46.58968448638916,46.585941314697266,2.2385321132605895,,0.0,6.969768039998598,1,0.23479188900747064,0.47358591248665954,2.8156997727482653,2.1428621433733497,2.261133238304562,"[2.040971913277948, 2.4180148600135, 2.1401585900457576, 2.1455656967009418, 2.2385321132605895, 2.268342759925872, 2.2539237166832513]",7
teacher_pruned_75,teacher,pruning,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_7/teacher_pruned_75.pt,7475,0.24976588628762542,0.46220735785953176,2.8158774020281125,0.05297574773430824,0.2301646100822371,0.7734412550926208,12212225,12190208,3047552,0.75,0.75,46.58968448638916,23.334964752197266,2.046928860072512,,0.0,7.4259970060084015,1,0.2482657417289221,0.47091782283884737,2.8018385099372334,2.028308115016747,2.0861623700087266,"[2.088092743360903, 2.4640297532702484, 2.038601713332658, 2.0113689632853493, 2.0842319966565506, 2.046928860072512, 2.0180145167008354]",7
student_distilled_int8,student,combined,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_7/student_distilled_int8.pt,7475,0.2420066889632107,0.4434782608695652,2.854054384359149,0.048483334481716156,0.22018931509434367,0.7861127853393555,2970113,2949248,2949248,0.0,,2.8996877670288086,,0.2462354266511587,,0.0,0.0,0,0.24226254002134473,0.45330843116328706,2.8459091932058587,0.23667264496907592,0.2694240599521436,"[0.2890362299513072, 0.30792135997520137, 0.2462354266511587, 0.22765430330764502, 0.22590153996134177, 0.2456909866305068, 0.24981188995297998]",7
student_distilled_control,student,control,/mnt/c/Users/danie/Repositories/DLEngine/checkpoints/comparison_v4/seed_7/student_distilled_control.pt,7475,0.24481605351170568,0.4511036789297659,2.8494892890317782,0.04773026704788208,0.2184725773361089,0.790118932723999,2970113,2949248,2949248,0.0,,11.333992958068848,,0.36746406335926923,,0.0,4.050789955013897,1,0.24533084311632872,0.45917822838847383,2.8380440607142168,0.3648706133147547,0.3850473183653473,"[0.4649007966509089, 0.40139871339003247, 0.36746406335926923, 0.3656046832717645, 0.3629975299312112, 0.3641365433577448, 0.3686959233406621]",7
