model,checkpoint,compression,sparsity_target,positions,top1,top3,policy_ce,value_mse,value_rmse,value_pearson,params,nonzero_params,actual_sparsity,model_mb,latency_ms
small_cnn_32x5_d10_75k_final_v2_finetune_control,checkpoints\overnight\compression_v2_fair\small_cnn_32x5_d10_75k_final_v2_finetune_control.pt,finetune_control,,7475,0.22568561872909698,0.41618729096989965,2.913926362991333,0.060184966772794724,0.24532624558492458,0.7253890633583069,184785,184785,0.0,0.7207612991333008,1.7757539998274297
small_cnn_32x5_d10_75k_final_v2_dynamic_quantized,checkpoints\overnight\compression_v2_fair\small_cnn_32x5_d10_75k_final_v2_dynamic_quantized.pt,dynamic_quantization,,7475,0.21324414715719064,0.41096989966555186,2.9191408157348633,0.057392340153455734,0.23956698468999382,0.7348722815513611,53456,53456,0.0,0.35385990142822266,2.0866070000920445
small_cnn_32x5_d10_75k_final_v2_pruned_25,checkpoints\overnight\compression_v2_fair\small_cnn_32x5_d10_75k_final_v2_pruned_25.pt,unstructured_pruning,0.25,7475,0.21431438127090302,0.4165886287625418,2.914609670639038,0.05786782130599022,0.24055731397317817,0.7345934510231018,184785,138785,0.24893795492058335,0.7205286026000977,1.7480219999561086
small_cnn_32x5_d10_75k_final_v2_pruned_50,checkpoints\overnight\compression_v2_fair\small_cnn_32x5_d10_75k_final_v2_pruned_50.pt,unstructured_pruning,0.5,7475,0.21725752508361204,0.402809364548495,2.9272196292877197,0.054599009454250336,0.23366430932911073,0.7502731084823608,184785,92785,0.4978759098411668,0.7205286026000977,1.6999359999317676
small_cnn_32x5_d10_75k_final_v2_pruned_75,checkpoints\overnight\compression_v2_fair\small_cnn_32x5_d10_75k_final_v2_pruned_75.pt,unstructured_pruning,0.75,7475,0.18903010033444817,0.3705685618729097,2.99668288230896,0.06326128542423248,0.2515179624285957,0.7069621086120605,184785,46785,0.7468138647617502,0.7205286026000977,1.7579229996772483
small_cnn_64x5_d10_75k_final_v2_finetune_control,checkpoints\overnight\compression_v2_fair\small_cnn_64x5_d10_75k_final_v2_finetune_control.pt,finetune_control,,7475,0.23705685618729097,0.44214046822742475,2.887421131134033,0.05647017061710358,0.23763453161757359,0.7430192828178406,311633,311633,0.0,1.2058687210083008,1.8537219997961074
small_cnn_64x5_d10_75k_final_v2_dynamic_quantized,checkpoints\overnight\compression_v2_fair\small_cnn_64x5_d10_75k_final_v2_dynamic_quantized.pt,dynamic_quantization,,7475,0.20615384615384616,0.42662207357859533,2.883857011795044,0.05733112245798111,0.2394391832135691,0.7351922988891602,180304,180304,0.0,0.8389673233032227,2.3180829995544627
small_cnn_64x5_d10_75k_final_v2_pruned_25,checkpoints\overnight\compression_v2_fair\small_cnn_64x5_d10_75k_final_v2_pruned_25.pt,unstructured_pruning,0.25,7475,0.24187290969899666,0.4446822742474916,2.8858144283294678,0.05612838268280029,0.23691429396049596,0.7438196539878845,311633,234001,0.24911354060706026,1.2056360244750977,1.8014890002086759
small_cnn_64x5_d10_75k_final_v2_pruned_50,checkpoints\overnight\compression_v2_fair\small_cnn_64x5_d10_75k_final_v2_pruned_50.pt,unstructured_pruning,0.5,7475,0.23906354515050168,0.44642140468227426,2.8783042430877686,0.05387772619724274,0.23211576033790282,0.7601019740104675,311633,156369,0.4982270812141204,1.2056360244750977,1.797913999762386
small_cnn_64x5_d10_75k_final_v2_pruned_75,checkpoints\overnight\compression_v2_fair\small_cnn_64x5_d10_75k_final_v2_pruned_75.pt,unstructured_pruning,0.75,7475,0.21177257525083612,0.4094983277591973,2.9250435829162598,0.05543186888098717,0.23543973513616423,0.7448519468307495,311633,78737,0.7473406218211807,1.2056360244750977,1.8657329998677596
