model,checkpoint,positions,top1,top3,policy_ce,value_mse,value_rmse,value_pearson,params,model_mb,latency_ms
small_cnn_16x3_d10_75k_final_v2,C:\Users\danie\Repositories\DLEngine\checkpoints\overnight\final_v2\small_cnn_16x3_d10_75k_final_v2\best.pt,7475,0.1745819397993311,0.360133779264214,3.0185933113098145,0.05935852229595184,0.24363604473876982,0.737367570400238,144337,0.5585222244262695,1.1602419998962432
small_cnn_32x3_d10_75k_final_v2,C:\Users\danie\Repositories\DLEngine\checkpoints\overnight\final_v2\small_cnn_32x3_d10_75k_final_v2\best.pt,7475,0.2022742474916388,0.3896989966555184,2.9623327255249023,0.051534201949834824,0.22701145775012066,0.7733805775642395,166225,0.6423845291137695,1.1773470003390685
small_cnn_64x3_d10_75k_final_v2,C:\Users\danie\Repositories\DLEngine\checkpoints\overnight\final_v2\small_cnn_64x3_d10_75k_final_v2\best.pt,7475,0.2040133779264214,0.40775919732441473,2.9399349689483643,0.05357993394136429,0.23147339791294438,0.754824697971344,237649,0.9155778884887695,1.2121020001359284
small_cnn_32x5_d10_75k_final_v2,C:\Users\danie\Repositories\DLEngine\checkpoints\overnight\final_v2\small_cnn_32x5_d10_75k_final_v2\best.pt,7475,0.21324414715719064,0.41096989966555186,2.9191408157348633,0.05736146122217178,0.23950252863419164,0.7350375056266785,184785,0.7168397903442383,1.698882000055164
small_cnn_64x5_d10_75k_final_v2,C:\Users\danie\Repositories\DLEngine\checkpoints\overnight\final_v2\small_cnn_64x5_d10_75k_final_v2\best.pt,7475,0.20615384615384616,0.42662207357859533,2.883857011795044,0.05729948729276657,0.23937311313672338,0.7353410124778748,311633,1.2019472122192383,2.005356000154279
depthwise_cnn_16x3_d10_75k_final_v2,C:\Users\danie\Repositories\DLEngine\checkpoints\overnight\final_v2\depthwise_cnn_16x3_d10_75k_final_v2\best.pt,7475,0.17297658862876253,0.34595317725752506,3.02791690826416,0.053572069853544235,0.23145641026669414,0.7567906379699707,140529,0.5444726943969727,1.7703349998919293
depthwise_cnn_32x3_d10_75k_final_v2,C:\Users\danie\Repositories\DLEngine\checkpoints\overnight\final_v2\depthwise_cnn_32x3_d10_75k_final_v2\best.pt,7475,0.19384615384615383,0.37672240802675583,3.0082521438598633,0.0551234595477581,0.23478385708510308,0.7498995065689087,150417,0.5825586318969727,1.794334999867715
depthwise_cnn_64x3_d10_75k_final_v2,C:\Users\danie\Repositories\DLEngine\checkpoints\overnight\final_v2\depthwise_cnn_64x3_d10_75k_final_v2\best.pt,7475,0.1917056856187291,0.37846153846153846,2.9665868282318115,0.056328024715185165,0.23733525805321293,0.7433302402496338,173265,0.6704492568969727,1.9384279998485
depthwise_cnn_32x5_d10_75k_final_v2,C:\Users\danie\Repositories\DLEngine\checkpoints\overnight\final_v2\depthwise_cnn_32x5_d10_75k_final_v2\best.pt,7475,0.18327759197324414,0.380066889632107,2.9869303703308105,0.0626881942152977,0.2503761055198712,0.7151879072189331,153169,0.5973100662231445,2.899522000225261
depthwise_cnn_64x5_d10_75k_final_v2,C:\Users\danie\Repositories\DLEngine\checkpoints\overnight\final_v2\depthwise_cnn_64x5_d10_75k_final_v2\best.pt,7475,0.18688963210702342,0.4006688963210702,2.9449245929718018,0.05971979349851608,0.24437633579893958,0.7316009402275085,182865,0.7118120193481445,3.1193069997243583
